age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
40;blue-collar;married;primary;no;1758;yes;no;unknown;16;may;1230;3;-1;0;unknown;yes
33;blue-collar;single;secondary;no;-416;yes;no;unknown;16;may;767;2;-1;0;unknown;yes
24;technician;single;secondary;no;409;yes;no;unknown;16;may;912;1;-1;0;unknown;yes
24;blue-collar;married;primary;no;656;yes;no;unknown;16;may;894;1;-1;0;unknown;yes
50;admin.;divorced;secondary;no;363;yes;no;unknown;16;may;1340;1;-1;0;unknown;yes
27;technician;single;tertiary;no;3706;yes;no;unknown;16;may;897;1;-1;0;unknown;yes
54;management;single;tertiary;no;4393;yes;no;unknown;16;may;1297;3;-1;0;unknown;yes
30;technician;single;secondary;no;863;yes;no;unknown;16;may;1193;5;-1;0;unknown;yes
34;blue-collar;married;primary;no;695;yes;yes;unknown;16;may;1064;4;-1;0;unknown;yes
37;management;single;secondary;no;792;yes;no;unknown;16;may;1187;4;-1;0;unknown;yes
41;admin.;single;secondary;no;1020;yes;no;unknown;19;may;882;1;-1;0;unknown;yes
47;blue-collar;married;secondary;no;863;yes;no;unknown;19;may;943;2;-1;0;unknown;yes
31;admin.;married;secondary;no;97;yes;no;unknown;19;may;607;1;-1;0;unknown;yes
31;blue-collar;married;secondary;no;754;yes;no;unknown;19;may;1022;4;-1;0;unknown;yes
43;services;divorced;secondary;no;1040;yes;no;unknown;19;may;552;3;-1;0;unknown;yes
37;management;divorced;tertiary;no;122;yes;no;unknown;19;may;1622;2;-1;0;unknown;yes
30;technician;single;tertiary;no;880;yes;yes;unknown;19;may;967;6;-1;0;unknown;yes
41;technician;married;secondary;no;501;yes;no;unknown;19;may;579;5;-1;0;unknown;yes
30;technician;single;tertiary;no;3291;yes;no;unknown;19;may;1218;3;-1;0;unknown;yes
36;blue-collar;married;secondary;no;4438;yes;no;unknown;20;may;446;1;-1;0;unknown;yes
35;blue-collar;divorced;secondary;no;0;yes;no;unknown;20;may;1205;1;-1;0;unknown;yes
29;services;single;secondary;no;271;yes;no;unknown;20;may;1882;2;-1;0;unknown;yes
35;blue-collar;married;primary;no;102;yes;no;unknown;20;may;1334;1;-1;0;unknown;yes
31;blue-collar;married;secondary;no;2;yes;no;unknown;20;may;182;2;-1;0;unknown;yes
35;services;married;secondary;no;4170;yes;no;unknown;20;may;1777;1;-1;0;unknown;yes
34;technician;single;secondary;no;85;yes;no;unknown;20;may;1182;4;-1;0;unknown;yes
31;admin.;single;secondary;no;431;yes;yes;unknown;20;may;1045;1;-1;0;unknown;yes
44;technician;divorced;secondary;no;982;yes;no;unknown;20;may;650;3;-1;0;unknown;yes
36;blue-collar;married;primary;no;408;yes;yes;unknown;20;may;1063;2;-1;0;unknown;yes
39;technician;single;secondary;no;1022;yes;no;unknown;20;may;1410;2;-1;0;unknown;yes
35;blue-collar;married;unknown;no;4822;yes;no;unknown;20;may;843;2;-1;0;unknown;yes
41;blue-collar;married;primary;no;1250;yes;no;unknown;20;may;1392;2;-1;0;unknown;yes
31;blue-collar;married;secondary;no;3311;yes;no;unknown;20;may;719;1;-1;0;unknown;yes
31;blue-collar;single;primary;no;216;yes;no;unknown;21;may;565;1;-1;0;unknown;yes
34;blue-collar;married;secondary;no;1207;yes;no;unknown;21;may;905;1;-1;0;unknown;yes
32;technician;married;secondary;no;791;yes;no;unknown;21;may;783;2;-1;0;unknown;yes
36;management;married;tertiary;no;849;yes;yes;unknown;21;may;958;2;-1;0;unknown;yes
30;blue-collar;single;secondary;yes;239;yes;no;unknown;21;may;412;1;-1;0;unknown;yes
37;technician;single;secondary;no;1211;yes;no;unknown;21;may;795;1;-1;0;unknown;yes
54;management;divorced;tertiary;no;487;yes;no;unknown;21;may;828;4;-1;0;unknown;yes
